Date,Volume,Open,Close,High,Low
8/24/20,1227466,250.1,251.8,253.47,249.66
8/25/20,1555125,249.02,252.24,254.35,246.4
8/26/20,3075999,246.66,248.21,253.26,237.19
8/27/20,1137941,250.19,243.11,250.19,241.74
8/28/20,999064,244.85,247.39,250.5,244.85
8/31/20,1210857,246.33,245.7,247.98,242.55
9/1/20,1413483,247.99,253.51,253.7,244.67
9/2/20,2374057,255.48,261.35,261.94,254.15
9/3/20,2497741,256.81,242.09,256.81,239.23
9/4/20,2704646,240.53,233.88,244.44,228.18
9/8/20,1845665,224.16,224.36,230.19,223.92
9/9/20,2018469,227.61,232.78,234.98,225.59
9/10/20,2128563,234,228.2,239.01,226.95
9/11/20,992236,228.18,227.48,231.34,223.27
9/14/20,1276790,231.03,229.83,232.9,228.23
9/15/20,1969945,231.48,235.87,240.05,231.09
9/16/20,1092756,236.41,230.76,237.59,230.33
9/17/20,1884476,225.5,226.97,227.51,220.43
9/18/20,2034103,228.32,225.13,229.34,219.89
9/21/20,1205468,220.8,227.64,227.76,218.51
9/22/20,841113,229.41,229.56,230.08,225.72
9/23/20,901998,228.6,221.87,230.33,221.05
9/24/20,1147889,219.49,220.96,223.9,215.83
9/25/20,1054915,221.18,227.8,228.97,219.92
9/28/20,995935,232.5,232.15,234.34,229.1
9/29/20,956962,232.51,232.92,234.38,230.57
9/30/20,1466075,232.29,231.01,236.71,228.95
10/1/20,1438777,232.76,233.96,238.61,232.75
10/2/20,1253379,228.77,225.56,231.14,223.51
10/5/20,915907,226.86,228.93,230.13,225.04
10/6/20,979948,228.32,228.01,231.57,226.5
10/7/20,1039264,229.31,233.01,234.21,229.31
10/8/20,1382130,237.23,234.31,238,232.26
10/9/20,1794439,234.38,237.5,238.14,233.32
10/12/20,1987984,243.46,242.12,246.12,239.92
10/13/20,1374509,242.75,244.09,247.87,242.39
10/14/20,1414684,246.88,246.7,250.74,244.53
10/15/20,2638403,244,252.03,253.96,242.12
10/16/20,2289563,253.21,259.97,261.45,253.17
10/19/20,2330722,262.67,259.94,268.44,258.59
10/20/20,1715609,261.41,257.34,262.58,257.17
10/21/20,872881,257.39,254.01,259.69,253.1
10/22/20,1033457,254.52,252.76,255.64,247.02
10/23/20,640713,253.27,254.42,254.65,249.9
10/26/20,1256976,251.59,249.13,254.65,246.4
10/27/20,1008937,251.01,250.6,253.87,250.27
10/28/20,1357415,246.21,237.62,246.38,236.7
10/29/20,1043041,238.33,242.84,245.72,238.11
10/30/20,1514698,240.13,235.54,241.5,233.32
11/2/20,1728616,237.2,240.74,242.57,236.21
11/3/20,1045611,244.38,248.31,250.46,241.84
11/4/20,2779453,257.41,245.89,257.83,241.46
11/5/20,1467612,254.26,255.92,260.5,252.35
11/6/20,819095,255.38,259.41,261.6,253.25
11/9/20,2361909,274.24,262.61,276.68,262.26
11/10/20,1615260,259.38,247.22,259.98,245.88
11/11/20,2067971,252.84,246.79,257.41,244.3
11/12/20,1005153,247.98,245.71,253.03,244.69
11/13/20,1518678,254.4,251,256.91,248.63
11/16/20,1087696,249.37,248.79,251.56,246.86
11/17/20,1015462,249.24,252.71,253.67,247.62
11/18/20,908635,252.39,252.22,255.13,250.53
11/19/20,1077781,250.24,256.88,259.66,250.24
11/20/20,1458524,256.73,254.89,260.6,254.09
11/23/20,1338283,255.57,257.25,257.95,251.6
11/24/20,1590924,257.72,258.97,260.89,256.6
11/25/20,3128324,260.99,271.24,282.49,260.01
11/27/20,886936,272.19,272.81,276.48,270.51
11/30/20,2612328,275,280.23,281.35,272.21
12/1/20,1753763,281.87,279.11,282,275.16
12/2/20,1426356,277.99,277.06,279.16,273.76
12/3/20,1841708,276,277.29,279.79,275.71
12/4/20,1688205,277.29,278,281.78,276.98
12/7/20,1422385,278.18,280.8,282.27,278
12/8/20,939027,281.69,284.38,286.24,280.31
12/9/20,1484500,288.97,279.42,289.45,278.07
12/10/20,1160357,278.14,281.16,282.18,274.24
12/11/20,1251164,280.25,279.68,280.49,275.38
12/14/20,1743931,281.57,288.33,293.48,280.05
12/15/20,997920,288.2,287.53,290.66,287.07
12/16/20,1054935,288.74,292.17,293.1,288.74
12/17/20,1108516,294.65,297.35,297.76,292.38
12/18/20,2766224,299.83,305,305.95,298.73
12/21/20,1421517,302.84,300.88,303.99,296.7
12/22/20,1302945,303.31,303.86,304.3,300
12/23/20,689730,305.65,300.18,307.22,300
12/24/20,323059,300.4,301.39,302.76,298.77
12/28/20,702708,304.25,299.65,305.44,298.02
12/29/20,672891,300,298.11,301.73,296.03
12/30/20,513673,300.25,299.41,301.51,297.94
12/31/20,941702,299,305.34,305.85,299
1/4/21,1407015,304.11,296.84,307.83,293.05
1/5/21,1636915,297.84,301.7,302.51,296.54
1/6/21,1557737,294.15,302.87,309.95,294.13
1/7/21,1527642,305.45,315.2,316.45,305.01
1/8/21,1196778,316.41,319.85,320.43,315.08
1/11/21,1232960,317.43,317.81,319.84,313.75
1/12/21,859508,320,320.13,320.94,317.11
1/13/21,1182030,320.75,314.33,321.13,313.07
1/14/21,1269716,314.08,311.11,316.11,310.06
1/15/21,1248598,311.74,308.51,316.35,308.03
1/19/21,1414107,314.83,310.97,315.47,310.25
1/20/21,1794524,311.52,308.58,315.26,307.42
1/21/21,2004285,309.24,306.46,309.96,305.34
1/22/21,2590522,303,299.17,306.5,296.51
1/25/21,2698053,301.76,293.64,302.49,289.52
1/26/21,2134214,294,291.75,295.94,291.32
1/27/21,2714719,285.32,273.47,285.32,272.7
1/28/21,1752663,277.16,284.22,289.4,276.7
1/29/21,1611181,281.68,277.43,283.63,274.63
2/1/21,1160107,280.41,286.32,287.73,279.33
2/2/21,1146225,288.62,294.61,296.77,288.62
2/3/21,856142,294.45,292.85,295.94,292.73
2/4/21,931030,294.36,300.49,300.67,291.72
2/5/21,1086201,302.99,305.86,307.86,301.88
2/8/21,945222,308.33,302.81,310.07,302.12
2/9/21,1399872,308.15,304.5,308.15,302.77
2/10/21,1195568,305.56,301.71,306.2,299.65
2/11/21,1612362,304.49,300.21,305.48,298.32
2/12/21,1529915,297.93,305.14,305.5,295.32
2/16/21,1571964,307.95,308.22,316.31,307.3
2/17/21,891045,306.1,302.52,307.19,296.44
2/18/21,1264681,299,300.72,301.78,292.86
2/19/21,1208190,301.74,305.4,310.05,301.11
2/22/21,954481,301.46,297.7,303.15,297.67
2/23/21,1487201,292.41,290.25,293.52,284.56
2/24/21,1397415,281.33,298.91,299.16,280.62
2/25/21,1489308,294.81,284.03,298.77,282.25
2/26/21,2529278,283.45,276,291.98,274.82
3/1/21,1831355,279.86,284.27,284.72,278.07
3/2/21,1267254,285.55,277.92,286.9,277.33
3/3/21,1409245,275.7,269.3,276.82,267.04
3/4/21,1812588,266.8,265.44,273.28,263.02
3/5/21,1835526,270.33,267.39,270.33,255.02
3/8/21,1623241,265.21,253.1,268.28,252.6
3/9/21,2708645,262.24,263.97,266.43,260.03
3/10/21,1420677,269.76,263.64,271.75,262.32
3/11/21,2029446,270.92,274.36,276,269.02
3/12/21,926091,270.07,268.11,272,264.4
3/15/21,865229,267.98,273.02,273.75,266.3
3/16/21,1041336,275.21,275.01,277.7,272.01
3/17/21,1092239,272.02,272.84,275.31,265.09
3/18/21,1356028,265.56,263.44,271,263.14
3/19/21,2320357,261.79,261.5,265.22,258.85
3/22/21,1863436,261.03,265.96,269.29,261.03
3/23/21,1313554,268.91,269,274.83,267.01
3/24/21,1191663,270,263.18,270.97,262.97
3/25/21,906194,262.21,262.19,263.34,257.32
3/26/21,1642223,261.35,269.01,269.22,260.88
3/29/21,1311186,266.97,270.78,273.1,265.5
3/30/21,904450,268.18,268.43,271.9,264.47
3/31/21,1666149,269.79,277.15,279.66,269.65
4/1/21,1509442,277.84,283.9,285.64,277.84
4/5/21,950902,285.74,288.32,289.42,284.29
4/6/21,898549,286.86,285.5,288.63,284.65
4/7/21,718673,286.83,286.12,287.59,283.24
4/8/21,1220409,290,293.43,297.76,288.65
4/9/21,1032737,292.56,297.57,297.9,290.38
4/12/21,1378616,294,294.5,296.25,293
4/13/21,1007856,295.34,295.35,298.66,293.12
4/14/21,881144,297.24,294.35,301.41,293.79
4/15/21,1103606,299.78,298.86,303.69,298.22
4/16/21,861303,300.18,300.16,301.36,296.58
4/19/21,939254,297.27,290.2,299.46,288.85
4/20/21,967453,288.16,286.36,289.05,282.82
4/21/21,893458,285.76,288.87,289.73,284.15
4/22/21,1721026,287.54,288,292.24,285.72
4/23/21,1073549,289.47,295.27,296.57,289.12
4/26/21,833414,294.67,299.34,300.76,294.4
4/27/21,812676,299.41,297.87,299.97,294.25
4/28/21,908357,298.07,299.23,299.56,296.18
4/29/21,906891,301.5,296.28,301.5,293.79
4/30/21,732176,294.55,291.91,295.47,290.5
5/3/21,644746,292.99,287.5,293.5,286.07
5/4/21,1052232,284.23,279.73,284.23,274.5
5/5/21,839435,280.21,281.08,282,277.68
5/6/21,1131132,280.49,284.35,284.72,277.79
5/7/21,799813,285.66,285.76,292.64,283.9
5/10/21,839223,285.89,276.05,286,275.88
5/11/21,933177,269,277.42,280.56,265.75
5/12/21,984157,271.95,269.54,275.09,267.34
5/13/21,1289758,270.94,269.72,273.7,267.22
5/14/21,1154548,272.52,277.63,278.82,270.16
5/17/21,755055,275,274.78,275.61,270.35
5/18/21,811972,276.35,272.75,276.98,272.56
5/19/21,821251,267.63,273.97,274.71,266.79
5/20/21,971222,275.21,281.16,282.97,275.21
5/21/21,996278,283.63,281.68,285,279.33
5/24/21,914096,285.29,287.48,288.52,283.83
5/25/21,1119897,288.28,289.47,291.48,287.06
5/26/21,1192521,288.72,292.51,293.49,288.09
5/27/21,2369823,290.25,286.67,291.17,284.8
5/28/21,1948492,287,285.86,291.5,282.15
6/1/21,1206067,287,281.3,287.41,280.01
6/2/21,937644,280.84,279.67,284,278.35
6/3/21,1468631,276.15,274.47,278.67,271.7
6/4/21,1138779,277.97,284.78,285.33,275.86
6/7/21,1431396,283.97,278.89,283.97,276.11
6/8/21,809026,281.99,278.66,283.39,278.26
6/9/21,1245794,280.99,275.5,280.99,275.21
6/10/21,1444299,275.31,277.5,280.11,274.34
6/11/21,985847,278.5,277.51,281.36,277.13
6/14/21,1177052,278.29,280.52,281.28,276.76
6/15/21,1151726,281.26,276.76,281.72,275.97
6/16/21,1207906,277,273.71,278.32,271.25
6/17/21,1894010,272.16,276.34,278.8,271.15
6/18/21,1627643,275.52,277.98,281.13,275.01
6/21/21,1189932,278.47,283.22,283.5,275.87
6/22/21,881097,283.46,286.07,286.41,282.79
6/23/21,922920,286.61,283.67,286.65,282.68
6/24/21,817291,286.71,286.96,289.1,285.88
6/25/21,1943454,288.86,288.74,289.9,285.6
6/28/21,994348,290.22,293.36,295,289.27
6/29/21,1146454,292.36,297.74,298.14,290.13
6/30/21,977848,296.67,291.9,296.87,290.93
7/1/21,757908,291.78,293.7,295.22,290.61
7/2/21,667429,295.03,297.74,298.31,295.03
7/6/21,1446369,298.19,295.6,301,294.12
7/7/21,999349,296.65,296.11,299.21,293.46
7/8/21,1180959,292.3,294.47,296.13,290.04
7/9/21,1027843,294.03,295.38,296.96,290.49
7/12/21,888471,297.62,291.93,298.7,290.31
7/13/21,1051144,292.44,296.42,297.22,290.93
7/14/21,1052458,298.5,297.1,300.73,296.14
7/15/21,839751,297.48,294.79,298,292.06
7/16/21,698216,296.78,293.33,297.63,293.08
7/19/21,1048069,289.58,287.31,290,284.42
7/20/21,1169646,287.9,296.12,298.64,285.92
7/21/21,867812,294.82,301.78,302.11,294.42
7/22/21,1083552,302.87,308.51,309.33,302.05
7/23/21,1066809,310.19,312.65,314.92,309.3
7/26/21,903724,312,313.62,313.96,309.81
7/27/21,1076592,314.04,308.25,314.37,304.31
7/28/21,1024553,309.41,313.13,314.09,306.07
7/29/21,1457481,313.68,320.5,322.68,312.68
7/30/21,1311526,318.3,321.13,321.73,317.01
8/2/21,914043,321.41,322.07,324.13,319.15
8/3/21,1043158,323.03,327.61,328.19,320.85
8/4/21,1341772,328,329.09,331.12,326.02
8/5/21,1342825,331.1,328.82,331.5,326.75
8/6/21,856913,327.46,332.77,334.06,326.67
8/9/21,763172,333.18,332.77,333.88,330.29
8/10/21,874896,332.85,331.28,335.67,328.77
8/11/21,1021187,332,328.64,333.57,325.35
8/12/21,884540,327.4,332.05,332.42,325.58
8/13/21,754468,333.94,332.78,334,330.25
8/16/21,924127,332.31,330.18,332.67,326.65
8/17/21,1086494,328.56,324.7,328.89,322.58
8/18/21,913826,323.57,323.52,326.06,322.23
8/19/21,1226383,322.7,330.35,332.37,322.46
8/20/21,860187,331.65,334.38,335.27,330.55
8/23/21,1253152,336,336.76,338.28,334.02
8/24/21,1032526,338.98,341.07,344.39,338.48
8/25/21,1502079,342.52,342.27,343.56,339.33
8/26/21,5486136,317.2,310.19,324,308.03
8/27/21,1840676,314.23,315.64,318.23,310.15
8/30/21,1411918,316.94,313.39,318.72,310.16
8/31/21,1567030,313.13,310.09,314.29,309.11
9/1/21,3085384,311.8,303.24,315.46,300.79
9/2/21,5475722,306.5,287.47,306.84,285.35
9/3/21,1819609,286.7,288.75,293,284.5
9/7/21,2177358,290.76,287.46,290.89,284.48
9/8/21,1504351,286.45,289.56,289.81,284.8
9/9/21,1444831,289.81,287.68,292.5,285.7
9/10/21,1565311,288.66,284.43,290.59,284.11
9/13/21,1518076,284.51,281.28,286.29,278.46
9/14/21,1278843,282.19,279.35,282.93,278.6
9/15/21,1430073,280.58,286.62,287.3,278.56
9/16/21,1433244,287.11,290.68,291.21,285.22
9/17/21,2113743,290.87,288.15,292.2,286.54
9/20/21,1168746,282.52,283.6,286.66,279.84
9/21/21,720011,285.72,283.19,286.17,282.09
9/22/21,1054836,283.88,286.42,288.78,283.66
9/23/21,1061674,287.86,292.16,293.32,287.4
9/24/21,1067759,290.5,294.67,295.34,290.5
9/27/21,1677529,294,294.06,295.29,289.34
9/28/21,1835859,288.64,287.85,291.59,283.75
9/29/21,1162959,290.42,287.99,292.88,286.9
9/30/21,1668489,290.33,285.17,292.57,284.96
10/1/21,1245767,283.8,284.06,286.51,279.79
10/4/21,1747790,282.87,272.93,283.99,271.09
10/5/21,953716,274.93,275.98,278.85,274.35
10/6/21,940627,272.95,277.42,278.66,271.75
10/7/21,909472,280.13,283.02,285.44,280.13
10/8/21,797433,284.05,278.94,284.36,278.73
10/11/21,681016,276.65,276.54,280.3,276.41
10/12/21,1117108,275.3,275.91,278.38,275.11
10/13/21,883052,278.67,283.45,284.48,278.67
10/14/21,799610,286.85,289.17,289.94,286.01
10/15/21,931739,290.81,291.19,291.88,289.35
10/18/21,766528,290.21,292.67,293.05,289.36
10/19/21,849496,294.54,296.69,297.55,292.34
10/20/21,915146,297.81,298.64,299.19,295.39
10/21/21,1099588,298.25,305.68,306.35,298.11
10/22/21,1162108,306,308.58,312.48,305.68
10/25/21,913496,308.69,311.79,313.45,307.27
10/26/21,980027,312.26,312.8,315,311.95
10/27/21,865660,313.37,308.51,314.98,307.53
10/28/21,932044,309.22,317.1,317.63,308.7
10/29/21,1061269,315.53,317.61,318.74,313.71
11/1/21,697802,318.5,315.01,319.74,313.18
11/2/21,993013,315.31,314.92,317.73,312.77
11/3/21,1409203,313.71,308.37,314.25,302.01
11/4/21,956821,308.86,318.97,319.72,308.38
11/5/21,1306682,320,324.52,325.64,319.62
11/8/21,911494,327.15,329.07,330.25,325.02
11/9/21,1110470,328.42,329.4,334.51,327.9
11/10/21,1148606,328.87,320.53,330.3,319.29
11/11/21,720409,323.08,325.21,327.79,322.03
11/12/21,709741,327.25,329.32,331.62,326.27
11/15/21,865474,330.74,326.39,332.46,325.09
11/16/21,1161694,326,333.64,334.2,325.24
11/17/21,1400979,334.8,330.55,335.48,328.54
11/18/21,1194939,330.96,322.18,331.77,320.98
11/19/21,1355448,325.58,322.52,327.14,321.64
11/22/21,1380055,324.14,310.48,325.21,310.45
11/23/21,2303369,308.98,304,310.7,297.73
11/24/21,10904560,262.88,256.9,268.35,245.05
11/26/21,2180855,258.18,254.17,260,252.62
11/29/21,3192413,257.21,261.15,266.43,254.02
11/30/21,3072708,261.74,254.19,263,252.49
12/1/21,2318592,260.86,249.68,265.32,249.41
12/2/21,2473667,252.74,257.66,258.54,250.81
12/3/21,2411587,259.61,259.02,263.49,253.05
12/6/21,2260147,259.53,265.56,267.84,254.16
12/7/21,2716540,270.59,276.7,278.55,267.28
12/8/21,1824796,277.39,276.29,278.64,273.48
12/9/21,1582951,275.48,267.67,280,267.52
12/10/21,1237366,271.02,269,274.23,267.68
12/13/21,1293221,267.89,268.88,273.63,265.59
12/14/21,1145889,262.84,263.22,268.79,260.95
12/15/21,2003760,262.68,271.73,272.07,262.67
12/16/21,1956029,273.4,269.61,277.53,268.44
