Date,Volume,Open,Close,High,Low,CCI,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
10/7/24,757318,268.32,267.23,270.24,266.02,35.03092778705049,68.82000000000016,14.120000000000005,11.190000000000055,20.51729148503338,16.259808195292106,33.75853754872579,40.79007140982821
10/8/24,1412998,268.19,275.08,276.26,267.51,88.68667705580759,73.45,20.139999999999986,8.270000000000039,27.420013614703823,11.259360108917669,29.16770682325072,42.465625109939246
10/9/24,782074,274.93,276.88,277.66,274.08,117.80060629292531,68.90000000000015,17.170000000000073,8.270000000000039,24.920174165457237,12.002902757619768,28.73637722230069,43.18291387
10/10/24,849171,275,277.71,277.91,275,121.02443853889906,65.59000000000015,17.420000000000073,6.980000000000018,26.558926665650304,10.641866138130817,29.93644457773099,43.89377833299559
10/11/24,1332319,277.49,281.67,282.54,277.48,164.9049144,68.19000000000017,22.050000000000068,6.980000000000018,32.33611966564014,10.236105000733247,34.25990403091289,42.80833737009378
10/14/24,1264083,283.15,285.31,286.43,281.25,209.93063543518392,69.87000000000018,25.200000000000045,6.980000000000018,36.06698153714038,9.989981394017462,39.94325172728964,41.70458934927497
10/15/24,1602388,285.31,286.48,287.96,285.29,215.3352100604973,69.37000000000012,26.110000000000014,6.980000000000018,37.638748738647784,10.061986449473846,47.64918102857348,40.70385928864964
10/16/24,1364344,288.18,289.19,289.36,284.9,201.19640692296363,68.34000000000015,24.760000000000048,6.980000000000018,36.230611647644125,10.213637693883529,50.02194441961569,39.59482562143321
10/17/24,1808725,290.44,290.57,292.88,289.13,205.63820322245067,68.59000000000015,27.27000000000004,6.980000000000018,39.75798221315058,10.176410555474565,54.06471095009053,41.40054408619561
10/18/24,1511702,290.57,292.99,294.13,290,188.8920564829194,68.77,27.170000000000016,6.980000000000018,39.50850661625706,10.149774611022261,56.787150524773075,43.36179755125203
10/21/24,1254454,291.36,289.78,293.75,288.8,149.74528842161303,64.79000000000008,27.170000000000016,2.670000000000016,41.93548387096772,4.121006328137078,61.81927423766198,48.03958913428744
10/22/24,1012736,287.54,288.48,290.53,286.25,113.08981305711129,64.52000000000004,27.170000000000016,5.220000000000027,42.110973341599504,8.090514569,63.6774095,51.81033061192687
10/23/24,1209119,287.12,286.3,287.59,283.93,82.18605103875161,66.05000000000007,27.170000000000016,7.5400000000000205,41.13550341,11.41559424678276,63.46778938208797,55.558485205330726
10/24/24,1238311,288.55,285.77,289.17,285.51,81.24834780486835,63.35000000000008,25.470000000000027,7.5400000000000205,40.20520915548539,11.902131018153135,63.18432776915583,56.60313609438576
10/25/24,973419,287.72,286.04,289,285.04,73.02764914897797,62.170000000000016,25.470000000000027,6.539999999999964,40.968312691008556,10.519543188032753,63.16714335826237,58.61592715417645
10/28/24,1016697,286.34,286.52,288.64,286.34,70.59927498296138,55.74000000000001,19.450000000000045,6.539999999999964,34.89415141729466,11.73304628632932,61.59238143177158,59.18976597827233
10/29/24,886987,286.32,289.66,290.2,284.49,72.51735578965564,57.86999999999995,18.05000000000001,8.39,31.190599619837617,14.49801278728173,53.99754719058755,57.90841071412476
10/30/24,751563,288.18,288.82,291.21,287.93,76.88556411859683,58.239999999999895,18.810000000000002,8.39,32.29739010989017,14.405906593406499,49.08771284931792,56.38256117294101
10/31/24,1488039,287.8,283.8,288.47,283.42,38.37457477537402,58.57999999999987,14.180000000000007,12.89999999999992,24.206213724820824,22.021167634004694,40.44978426300509,51.95878682254653
