,Date,code,Open,Close,High,Low,Vol,VoT,exchange,CLOSE,HIGH,LOW,MTR,DMP,DMM,PDI,MDI,ADX,ADXR
299,12/3/02,600519,-261.77,-261.67,-261.66,-261.82,3104,8113029,0.39,-261.67,-261.66,-261.82,1.82,0.36,0.22,19.78,12.09,25.01,18.38
300,12/4/02,600519,-261.74,-261.65,-261.58,-261.74,4151,11045716,0.53,-261.65,-261.58,-261.74,1.91,0.44,0.21,23.04,10.99,25.8,20.49
301,12/5/02,600519,-261.67,-261.51,-261.45,-261.69,13020,35246694,1.66,-261.51,-261.45,-261.69,2.07,0.54,0.21,26.09,10.14,29.29,24.0
302,12/6/02,600519,-261.53,-261.53,-261.49,-261.57,3742,10116516,0.48,-261.53,-261.49,-261.57,2.06,0.54,0.18,26.21,8.74,33.3,26.61
303,12/9/02,600519,-261.53,-261.58,-261.51,-261.6,2903,7793264,0.37,-261.58,-261.51,-261.6,2.09,0.54,0.21,25.84,10.05,38.07,28.82
304,12/10/02,600519,-261.57,-261.65,-261.55,-261.66,2612,6946196,0.33,-261.65,-261.55,-261.66,2.06,0.43,0.27,20.87,13.11,36.73,29.27
305,12/11/02,600519,-261.68,-261.68,-261.65,-261.73,2547,6682742,0.32,-261.68,-261.65,-261.73,1.97,0.4,0.34,20.3,17.26,34.06,29.53
306,12/12/02,600519,-261.68,-261.63,-261.62,-261.72,3989,10541432,0.51,-261.63,-261.62,-261.72,1.95,0.43,0.33,22.05,16.92,30.35,28.08
307,12/13/02,600519,-261.8,-261.64,-261.59,-261.8,2223,5860451,0.28,-261.64,-261.59,-261.8,2.01,0.43,0.35,21.39,17.41,24.73,27.01
308,12/16/02,600519,-261.64,-261.55,-261.54,-261.67,7977,21310704,1.01,-261.55,-261.54,-261.67,1.99,0.48,0.35,24.12,17.59,19.01,26.15
309,12/17/02,600519,-261.55,-261.55,-261.51,-261.59,2926,7886188,0.37,-261.55,-261.51,-261.59,1.91,0.48,0.35,25.13,18.32,14.28,26.18
