,Date,code,Open,Close,High,Low,Vol,VoT,振幅,涨跌幅,涨跌额,exchange,CLOSE,HIGH,LOW,CCI
26,2001-10-09,600519,36.6,37.3,37.5,36.6,9558,35498000.0,2.46,1.97,0.72,1.34,37.3,37.5,36.6,154.22
27,2001-10-10,600519,37.3,36.1,37.43,36.03,17548,63956000.0,3.75,-3.22,-1.2,2.45,36.1,37.43,36.03,16.36
28,2001-10-11,600519,36.01,35.75,36.5,35.65,12306,44319000.0,2.35,-0.97,-0.35,1.72,35.75,36.5,35.65,-101.56
29,2001-10-12,600519,35.9,36.0,36.65,34.05,20010,70897000.0,7.27,0.7,0.25,2.8,36.0,36.65,34.05,-171.53
30,2001-10-15,600519,35.9,35.3,36.0,34.9,9755,34501000.0,3.06,-1.94,-0.7,1.36,35.3,36.0,34.9,-164.32
31,2001-10-16,600519,35.13,34.8,35.8,34.75,8319,29068000.0,2.97,-1.42,-0.5,1.16,34.8,35.8,34.75,-169.55
32,2001-10-17,600519,34.79,34.2,34.81,33.9,12507,42766000.0,2.61,-1.72,-0.6,1.75,34.2,34.81,33.9,-206.15
33,2001-10-18,600519,34.2,34.04,34.66,33.91,4983,16999000.0,2.19,-0.47,-0.16,0.7,34.04,34.66,33.91,-159.45
34,2001-10-19,600519,34.0,33.5,34.15,33.01,15687,52422000.0,3.35,-1.59,-0.54,2.19,33.5,34.15,33.01,-161.93
35,2001-10-22,600519,33.3,32.79,33.7,32.7,9760,32268000.0,2.99,-2.12,-0.71,1.37,32.79,33.7,32.7,-153.73
36,2001-10-23,600519,36.0,36.07,36.07,35.01,40598,145710000.0,3.23,10.0,3.28,5.68,36.07,36.07,35.01,15.35
37,2001-10-24,600519,36.78,35.86,36.8,35.11,40682,147001000.0,4.69,-0.58,-0.21,5.69,35.86,36.8,35.11,32.85
38,2001-10-25,600519,35.7,34.88,35.8,34.86,16036,56527000.0,2.62,-2.73,-0.98,2.24,34.88,35.8,34.86,-9.31
39,2001-10-26,600519,34.7,35.0,35.1,34.42,9002,31280000.0,1.95,0.34,0.12,1.26,35.0,35.1,34.42,-26.32
40,2001-10-29,600519,34.88,35.3,35.63,34.88,4587,16205000.0,2.14,0.86,0.3,0.64,35.3,35.63,34.88,20.01
41,2001-10-30,600519,35.25,35.0,35.49,34.92,3484,12214000.0,1.61,-0.85,-0.3,0.49,35.0,35.49,34.92,18.7
42,2001-10-31,600519,35.0,35.05,35.09,34.8,4762,16633000.0,0.83,0.14,0.05,0.67,35.05,35.09,34.8,11.08
43,2001-11-01,600519,35.05,35.57,35.64,34.95,6643,23511000.0,1.97,1.48,0.52,0.93,35.57,35.64,34.95,56.26
44,2001-11-02,600519,35.28,35.36,35.72,35.16,3435,12189000.0,1.57,-0.59,-0.21,0.48,35.36,35.72,35.16,58.96
45,2001-11-05,600519,35.0,34.9,35.26,34.7,3690,12879000.0,1.58,-1.3,-0.46,0.52,34.9,35.26,34.7,11.05
46,2001-11-06,600519,34.8,35.15,35.3,34.72,2609,9138000.0,1.66,0.72,0.25,0.36,35.15,35.3,34.72,17.81
47,2001-11-07,600519,35.0,33.85,35.0,33.8,9325,31791000.0,3.41,-3.7,-1.3,1.3,33.85,35.0,33.8,-81.44
48,2001-11-08,600519,33.35,33.7,33.89,32.98,7402,24682000.0,2.69,-0.44,-0.15,1.04,33.7,33.89,32.98,-162.17
49,2001-11-09,600519,33.7,34.15,34.48,33.34,3760,12737000.0,3.38,1.34,0.45,0.53,34.15,34.48,33.34,-137.44
50,2001-11-12,600519,34.4,33.6,34.4,33.52,2683,9088000.0,2.58,-1.61,-0.55,0.38,33.6,34.4,33.52,-123.16
51,2001-11-13,600519,33.28,33.64,33.7,33.21,2673,8965000.0,1.46,0.12,0.04,0.37,33.64,33.7,33.21,-126.46
52,2001-11-14,600519,33.64,33.65,34.0,33.64,769,2599000.0,1.07,0.03,0.01,0.11,33.65,34.0,33.64,-82.41
53,2001-11-15,600519,33.65,33.68,33.8,33.5,2193,7378000.0,0.89,0.09,0.03,0.31,33.68,33.8,33.5,-78.92
54,2001-11-16,600519,36.2,34.09,36.2,33.99,9954,34600000.0,6.56,1.22,0.41,1.39,34.09,36.2,33.99,32.28
55,2001-11-19,600519,34.15,35.05,35.08,34.1,9955,34600364.0,2.87,2.82,0.96,1.39,35.05,35.08,34.1,34.94
56,2001-11-20,600519,35.2,35.38,35.53,34.9,3735,12950484.0,1.8,0.94,0.33,0.52,35.38,35.53,34.9,85.87
57,2001-11-21,600519,35.48,35.18,35.5,34.9,5114,17957000.0,1.7,-0.57,-0.2,0.72,35.18,35.5,34.9,81.13
58,2001-11-22,600519,35.22,35.12,35.3,34.91,4198,14713000.0,1.11,-0.17,-0.06,0.59,35.12,35.3,34.91,77.29
59,2001-11-23,600519,35.01,34.98,35.25,34.78,3960,13866000.0,1.34,-0.4,-0.14,0.55,34.98,35.25,34.78,64.91
60,2001-11-26,600519,35.0,34.61,35.0,34.5,3100,10749000.0,1.43,-1.06,-0.37,0.43,34.61,35.0,34.5,36.69
61,2001-11-27,600519,34.58,35.0,35.07,34.58,2569,8954000.0,1.42,1.13,0.39,0.36,35.0,35.07,34.58,50.12
62,2001-11-28,600519,35.05,35.05,35.39,34.9,3773,13256000.0,1.4,0.14,0.05,0.53,35.05,35.39,34.9,68.23
63,2001-11-29,600519,35.01,34.83,35.2,34.81,3046,10658000.0,1.11,-0.63,-0.22,0.43,34.83,35.2,34.81,43.34
64,2001-11-30,600519,34.83,35.34,35.45,34.8,4070,14292000.0,1.87,1.46,0.51,0.57,35.34,35.45,34.8,72.34
65,2001-12-03,600519,35.35,36.17,36.27,35.34,16037,57741000.0,2.63,2.35,0.83,2.24,36.17,36.27,35.34,177.97
66,2001-12-04,600519,36.25,36.23,36.27,35.81,6894,24859000.0,1.27,0.17,0.06,0.96,36.23,36.27,35.81,189.68
67,2001-12-05,600519,37.0,36.0,37.0,35.96,15028,54737513.0,2.87,-0.63,-0.23,2.1,36.0,37.0,35.96,188.8
68,2001-12-06,600519,35.9,36.06,36.3,35.8,6372,23004767.0,1.39,0.17,0.06,0.89,36.06,36.3,35.8,109.51
69,2001-12-07,600519,36.1,35.86,36.2,35.8,3908,14031912.0,1.11,-0.55,-0.2,0.55,35.86,36.2,35.8,76.61
70,2001-12-10,600519,36.0,35.99,36.08,35.71,4162,14941666.0,1.03,0.36,0.13,0.58,35.99,36.08,35.71,61.82
71,2001-12-11,600519,36.0,35.64,36.0,35.61,3580,12821499.0,1.08,-0.97,-0.35,0.5,35.64,36.0,35.61,33.07
72,2001-12-12,600519,35.6,35.77,36.1,35.6,4633,16611472.0,1.4,0.36,0.13,0.65,35.77,36.1,35.6,36.89
73,2001-12-13,600519,35.61,35.26,35.97,35.2,3540,12580276.0,2.15,-1.43,-0.51,0.5,35.26,35.97,35.2,-15.74
74,2001-12-14,600519,35.02,35.2,35.5,35.02,2841,10026619.0,1.36,-0.17,-0.06,0.4,35.2,35.5,35.02,-62.01
75,2001-12-17,600519,35.11,35.36,35.61,35.05,4414,15611050.0,1.59,0.45,0.16,0.62,35.36,35.61,35.05,-56.18
76,2001-12-18,600519,35.48,35.9,35.96,35.1,4821,17167382.0,2.43,1.53,0.54,0.67,35.9,35.96,35.1,-8.14
77,2001-12-19,600519,35.9,35.96,36.49,35.63,9620,34761229.0,2.4,0.17,0.06,1.35,35.96,36.49,35.63,60.71
78,2001-12-20,600519,35.9,34.76,35.9,34.65,11362,39988830.0,3.48,-3.34,-1.2,1.59,34.76,35.9,34.65,-152.57
79,2001-12-21,600519,34.7,35.87,35.97,34.7,8135,28861442.0,3.65,3.19,1.11,1.14,35.87,35.97,34.7,-49.61
80,2001-12-24,600519,35.99,36.42,37.25,35.81,27251,99947172.0,4.01,1.53,0.55,3.81,36.42,37.25,35.81,150.93
81,2001-12-25,600519,36.45,36.5,36.72,35.95,12183,44420025.0,2.11,0.22,0.08,1.7,36.5,36.72,35.95,126.6
82,2001-12-26,600519,36.54,37.19,37.25,36.1,16810,62127143.0,3.15,1.89,0.69,2.35,37.19,37.25,36.1,177.25
83,2001-12-27,600519,37.22,37.32,37.84,36.92,23285,87052679.0,2.47,0.35,0.13,3.26,37.32,37.84,36.92,191.61
84,2001-12-28,600519,37.3,37.3,37.6,36.88,12279,45692306.0,1.93,-0.05,-0.02,1.72,37.3,37.6,36.88,135.92
85,2001-12-31,600519,37.67,38.55,39.3,37.46,52195,202281565.0,4.93,3.35,1.25,7.3,38.55,39.3,37.46,188.22
86,2002-01-04,600519,38.72,37.55,38.8,37.45,29110,111030307.0,3.5,-2.59,-1.0,4.07,37.55,38.8,37.45,118.56
87,2002-01-07,600519,37.15,37.35,37.5,36.68,18943,70279717.0,2.18,-0.53,-0.2,2.65,37.35,37.5,36.68,52.83
88,2002-01-08,600519,37.0,36.59,37.59,36.48,13287,48947614.0,2.97,-2.03,-0.76,1.86,36.59,37.59,36.48,23.39
89,2002-01-09,600519,36.5,36.87,37.18,36.35,10607,38912708.0,2.27,0.77,0.28,1.48,36.87,37.18,36.35,8.71
90,2002-01-10,600519,36.98,37.24,37.39,36.35,18816,69093753.0,2.82,1.0,0.37,2.63,37.24,37.39,36.35,19.98
91,2002-01-11,600519,37.01,36.05,37.14,36.0,11835,43306414.0,3.06,-3.2,-1.19,1.66,36.05,37.14,36.0,-47.12
92,2002-01-14,600519,35.7,36.1,36.4,35.43,18719,67196713.0,2.69,0.14,0.05,2.62,36.1,36.4,35.43,-111.65
93,2002-01-15,600519,35.98,36.54,37.05,35.91,18247,66666866.0,3.16,1.22,0.44,2.55,36.54,37.05,35.91,-63.32
94,2002-01-16,600519,36.48,36.35,36.97,35.4,13974,50700232.0,4.3,-0.52,-0.19,1.95,36.35,36.97,35.4,-93.57
95,2002-01-17,600519,36.2,35.06,36.49,34.7,24180,85418339.0,4.92,-3.55,-1.29,3.38,35.06,36.49,34.7,-172.72
96,2002-01-18,600519,34.8,36.65,36.88,34.7,32262,116437266.0,6.22,4.54,1.59,4.51,36.65,36.88,34.7,-80.09
97,2002-01-21,600519,36.3,35.87,36.6,35.58,15756,56764193.0,2.78,-2.13,-0.78,2.2,35.87,36.6,35.58,-74.29
98,2002-01-22,600519,35.8,36.44,36.95,35.8,13486,49186214.0,3.21,1.59,0.57,1.89,36.44,36.95,35.8,-28.87
99,2002-01-23,600519,36.65,37.62,37.65,36.2,23336,86396947.0,3.98,3.24,1.18,3.26,37.62,37.65,36.2,77.63
100,2002-01-24,600519,37.36,37.29,37.87,36.8,26616,99483236.0,2.84,-0.88,-0.33,3.72,37.29,37.87,36.8,116.56
101,2002-01-25,600519,37.24,37.1,37.57,36.8,13941,51685502.0,2.06,-0.51,-0.19,1.95,37.1,37.57,36.8,93.15
102,2002-01-28,600519,37.0,35.49,37.29,35.3,21668,77886073.0,5.36,-4.34,-1.61,3.03,35.49,37.29,35.3,-64.5
103,2002-01-29,600519,35.2,35.66,36.2,34.98,11872,42283085.0,3.44,0.48,0.17,1.66,35.66,36.2,34.98,-108.85
104,2002-01-30,600519,35.6,35.58,36.28,35.2,8419,30030708.0,3.03,-0.22,-0.08,1.18,35.58,36.28,35.2,-86.59
105,2002-01-31,600519,36.0,37.6,38.0,36.0,40828,152780902.0,5.62,5.68,2.02,5.71,37.6,38.0,36.0,108.85
106,2002-02-01,600519,37.5,37.06,37.98,36.9,17345,64926556.0,2.87,-1.44,-0.54,2.43,37.06,37.98,36.9,101.62
107,2002-02-04,600519,37.18,37.92,38.15,37.0,16510,62395237.0,3.1,2.32,0.86,2.31,37.92,38.15,37.0,115.86
108,2002-02-05,600519,37.93,37.9,38.68,37.63,11196,42691507.0,2.77,-0.05,-0.02,1.57,37.9,38.68,37.63,123.92
109,2002-02-06,600519,37.86,37.18,38.11,37.09,9669,36137656.0,2.69,-1.9,-0.72,1.35,37.18,38.11,37.09,62.01
110,2002-02-07,600519,37.18,37.41,37.92,37.12,6688,25158901.0,2.15,0.62,0.23,0.94,37.41,37.92,37.12,57.3
111,2002-02-08,600519,37.6,37.65,38.2,37.58,12569,47643920.0,1.66,0.64,0.24,1.76,37.65,38.2,37.58,83.27
112,2002-02-26,600519,37.99,37.77,38.5,37.45,14816,56234511.0,2.79,0.32,0.12,2.07,37.77,38.5,37.45,88.26
113,2002-02-27,600519,37.85,37.93,38.1,37.5,8291,31387541.0,1.59,0.42,0.16,1.16,37.93,38.1,37.5,72.3
114,2002-02-28,600519,38.0,38.0,38.46,37.78,12507,47786791.0,1.79,0.18,0.07,1.75,38.0,38.46,37.78,87.07
115,2002-03-01,600519,37.95,37.39,38.15,37.2,7421,27907358.0,2.5,-1.61,-0.61,1.04,37.39,38.15,37.2,31.93
116,2002-03-04,600519,37.35,38.04,38.08,37.12,5225,19593096.0,2.57,1.74,0.65,0.73,38.04,38.08,37.12,44.14
117,2002-03-05,600519,38.06,38.59,39.1,37.86,22189,85787001.0,3.26,1.45,0.55,3.1,38.59,39.1,37.86,149.16
118,2002-03-06,600519,38.8,38.36,39.08,38.02,18620,71904848.0,2.75,-0.6,-0.23,2.6,38.36,39.08,38.02,151.36
119,2002-03-07,600519,38.2,38.5,38.6,38.05,13616,52163426.0,1.43,0.36,0.14,1.9,38.5,38.6,38.05,108.89
120,2002-03-08,600519,38.55,39.63,39.78,38.55,35327,137988821.0,3.19,2.94,1.13,4.94,39.63,39.78,38.55,223.89
121,2002-03-11,600519,39.69,39.45,39.69,39.07,17606,69191402.0,1.56,-0.45,-0.18,2.46,39.45,39.69,39.07,173.99
122,2002-03-12,600519,39.45,38.5,39.45,38.5,17252,66875879.0,2.41,-2.41,-0.95,2.41,38.5,39.45,38.5,77.22
123,2002-03-13,600519,38.31,38.24,38.8,38.19,7794,29935169.0,1.58,-0.68,-0.26,1.09,38.24,38.8,38.19,18.91
124,2002-03-14,600519,38.11,38.62,38.7,38.05,6388,24487493.0,1.7,0.99,0.38,0.89,38.62,38.7,38.05,17.72
125,2002-03-15,600519,38.02,37.92,38.9,37.85,11893,45551718.0,2.72,-1.81,-0.7,1.66,37.92,38.9,37.85,-24.05
126,2002-03-18,600519,38.12,38.0,38.8,37.9,6070,23162182.0,2.37,0.21,0.08,0.85,38.0,38.8,37.9,-27.99
127,2002-03-19,600519,38.1,38.75,38.88,38.02,6774,26123110.0,2.26,1.97,0.75,0.95,38.75,38.88,38.02,20.35
128,2002-03-20,600519,38.8,38.97,39.5,38.7,15031,58767953.0,2.06,0.57,0.22,2.1,38.97,39.5,38.7,98.14
129,2002-03-21,600519,39.3,38.92,39.56,38.66,15037,58789396.0,2.31,-0.13,-0.05,2.1,38.92,39.56,38.66,78.35
130,2002-03-22,600519,38.92,38.54,39.0,38.42,7973,30733685.0,1.49,-0.98,-0.38,1.12,38.54,39.0,38.42,-6.13
131,2002-03-25,600519,38.49,38.78,38.9,38.3,4315,16693141.0,1.56,0.62,0.24,0.6,38.78,38.9,38.3,-7.04
132,2002-03-26,600519,38.7,38.2,38.8,38.12,6239,23950585.0,1.75,-1.5,-0.58,0.87,38.2,38.8,38.12,-65.48
133,2002-03-27,600519,38.15,38.1,38.46,37.91,4991,19022433.0,1.44,-0.26,-0.1,0.7,38.1,38.46,37.91,-103.84
134,2002-03-28,600519,38.01,38.01,38.28,38.0,5292,20150615.0,0.73,-0.24,-0.09,0.74,38.01,38.28,38.0,-105.19
135,2002-03-29,600519,38.0,37.26,38.05,37.1,10625,39865325.0,2.5,-1.97,-0.75,1.49,37.26,38.05,37.1,-212.37
136,2002-04-01,600519,37.16,37.6,37.79,37.12,2766,10386559.0,1.8,0.91,0.34,0.39,37.6,37.79,37.12,-163.65
137,2002-04-02,600519,37.61,37.02,37.76,36.81,7329,27163339.0,2.53,-1.54,-0.58,1.03,37.02,37.76,36.81,-168.15
138,2002-04-03,600519,37.02,36.98,37.3,36.82,6019,22255856.0,1.3,-0.11,-0.04,0.84,36.98,37.3,36.82,-149.96
139,2002-04-04,600519,36.97,37.58,37.6,36.51,5161,19068025.0,2.95,1.62,0.6,0.72,37.58,37.6,36.51,-99.92
140,2002-04-05,600519,37.78,37.28,37.94,37.1,3047,11402145.0,2.24,-0.8,-0.3,0.43,37.28,37.94,37.1,-64.0
141,2002-04-08,600519,37.3,37.0,37.4,36.95,2300,8539346.0,1.21,-0.75,-0.28,0.32,37.0,37.4,36.95,-83.95
142,2002-04-09,600519,37.0,37.43,37.5,36.88,3292,12257478.0,1.68,1.16,0.43,0.46,37.43,37.5,36.88,-59.73
143,2002-04-10,600519,37.43,37.48,37.77,37.2,3424,12828309.0,1.52,0.13,0.05,0.48,37.48,37.77,37.2,-27.92
144,2002-04-11,600519,37.49,37.49,37.88,37.41,6798,25576043.0,1.25,0.03,0.01,0.95,37.49,37.88,37.41,-3.74
145,2002-04-12,600519,37.62,38.0,38.22,37.52,4519,17168808.0,1.87,1.36,0.51,0.63,38.0,38.22,37.52,70.54
146,2002-04-15,600519,38.46,37.89,38.5,37.6,2926,11085699.0,2.37,-0.29,-0.11,0.41,37.89,38.5,37.6,103.51
147,2002-04-16,600519,37.88,38.26,38.3,37.88,6036,23013458.0,1.11,0.98,0.37,0.84,38.26,38.3,37.88,137.78
148,2002-04-17,600519,38.5,36.98,38.5,36.85,13219,48993045.0,4.31,-3.35,-1.28,1.85,36.98,38.5,36.85,-12.27
149,2002-04-18,600519,37.0,36.39,37.19,36.38,8538,31299469.0,2.19,-1.6,-0.59,1.19,36.39,37.19,36.38,-174.25
150,2002-04-19,600519,36.39,36.22,36.45,35.89,8854,31912486.0,1.54,-0.47,-0.17,1.24,36.22,36.45,35.89,-201.25
151,2002-04-22,600519,36.0,36.19,36.4,35.9,4114,14831735.0,1.38,-0.08,-0.03,0.58,36.19,36.4,35.9,-160.77
152,2002-04-23,600519,36.19,35.52,36.19,35.51,4088,14622595.0,1.88,-1.85,-0.67,0.57,35.52,36.19,35.51,-167.27
153,2002-04-24,600519,35.5,35.24,35.88,35.16,5051,17876338.0,2.03,-0.79,-0.28,0.71,35.24,35.88,35.16,-149.63
154,2002-04-25,600519,35.1,35.51,35.68,35.1,2597,9206508.0,1.65,0.77,0.27,0.36,35.51,35.68,35.1,-118.39
155,2002-04-26,600519,35.5,36.02,36.08,35.4,2381,8537641.0,1.91,1.44,0.51,0.33,36.02,36.08,35.4,-73.11
156,2002-04-29,600519,36.2,36.35,37.0,36.2,4665,17015082.0,2.22,0.92,0.33,0.65,36.35,37.0,36.2,-18.1
157,2002-04-30,600519,36.48,36.2,36.6,35.95,5978,21592851.0,1.79,-0.41,-0.15,0.84,36.2,36.6,35.95,-33.44
158,2002-05-08,600519,36.31,36.25,36.5,36.02,1700,6152534.0,1.33,0.14,0.05,0.24,36.25,36.5,36.02,-27.38
159,2002-05-09,600519,36.0,36.03,36.45,36.0,1712,6186437.0,1.24,-0.61,-0.22,0.24,36.03,36.45,36.0,-29.09
160,2002-05-10,600519,36.05,35.66,36.13,35.65,2689,9625820.0,1.33,-1.03,-0.37,0.38,35.66,36.13,35.65,-61.23
161,2002-05-13,600519,35.57,35.4,35.7,35.38,2831,10033864.0,0.9,-0.73,-0.26,0.4,35.4,35.7,35.38,-98.98
162,2002-05-14,600519,35.4,35.48,36.48,35.21,5070,18159637.0,3.59,0.23,0.08,0.71,35.48,36.48,35.21,-49.65
163,2002-05-15,600519,35.68,35.34,35.69,35.2,2244,7948908.0,1.38,-0.39,-0.14,0.31,35.34,35.69,35.2,-100.16
164,2002-05-16,600519,35.25,34.96,35.36,34.91,5550,19465458.0,1.27,-1.08,-0.38,0.78,34.96,35.36,34.91,-145.17
165,2002-05-17,600519,34.89,35.04,35.59,34.75,3860,13508333.0,2.4,0.23,0.08,0.54,35.04,35.59,34.75,-115.81
166,2002-05-20,600519,34.99,34.51,34.99,34.5,3354,11623861.0,1.4,-1.51,-0.53,0.47,34.51,34.99,34.5,-155.88
167,2002-05-21,600519,35.54,35.03,35.54,34.9,5707,20081800.0,1.85,1.51,0.52,0.8,35.03,35.54,34.9,-72.34
168,2002-05-22,600519,35.1,35.02,35.48,34.95,2974,10442708.0,1.51,-0.03,-0.01,0.42,35.02,35.48,34.95,-67.28
169,2002-05-23,600519,35.88,35.2,35.88,35.1,1620,5705093.0,2.23,0.51,0.18,0.23,35.2,35.88,35.1,-27.91
170,2002-05-24,600519,35.01,34.89,35.2,34.68,2407,8401313.0,1.48,-0.88,-0.31,0.34,34.89,35.2,34.68,-89.18
171,2002-05-27,600519,35.0,35.11,35.34,34.89,1653,5801250.0,1.29,0.63,0.22,0.23,35.11,35.34,34.89,-51.31
172,2002-05-28,600519,35.2,35.16,35.55,35.1,2615,9258306.0,1.28,0.14,0.05,0.37,35.16,35.55,35.1,-11.19
173,2002-05-29,600519,35.21,34.77,35.38,34.66,2685,9340641.0,2.05,-1.11,-0.39,0.38,34.77,35.38,34.66,-80.75
174,2002-05-30,600519,34.88,34.86,35.06,34.6,1962,6813508.0,1.32,0.26,0.09,0.27,34.86,35.06,34.6,-102.1
175,2002-05-31,600519,35.0,34.95,35.16,34.8,1806,6326360.0,1.03,0.26,0.09,0.25,34.95,35.16,34.8,-53.68
176,2002-06-03,600519,34.9,34.93,35.01,34.51,2290,7966689.0,1.43,-0.06,-0.02,0.32,34.93,35.01,34.51,-94.05
177,2002-06-04,600519,34.9,34.5,35.0,34.0,1976,6831604.0,2.86,-1.23,-0.43,0.28,34.5,35.0,34.0,-175.7
178,2002-06-05,600519,34.5,34.35,34.5,34.1,2225,7636262.0,1.16,-0.43,-0.15,0.31,34.35,34.5,34.1,-183.37
179,2002-06-06,600519,34.38,34.99,35.47,34.1,5757,19928860.0,3.99,1.86,0.64,0.81,34.99,35.47,34.1,-20.8
180,2002-06-07,600519,34.8,34.92,35.16,34.61,3622,12686067.0,1.57,-0.2,-0.07,0.51,34.92,35.16,34.61,-13.66
181,2002-06-10,600519,35.0,34.64,35.05,34.51,1833,6371263.0,1.55,-0.8,-0.28,0.26,34.64,35.05,34.51,-58.25
182,2002-06-11,600519,34.75,34.82,35.02,34.65,1539,5368576.0,1.07,0.52,0.18,0.22,34.82,35.02,34.65,-19.73
183,2002-06-12,600519,34.8,35.11,35.12,34.55,2082,7240715.0,1.64,0.83,0.29,0.29,35.11,35.12,34.55,32.46
184,2002-06-13,600519,35.1,34.9,35.3,34.88,1623,5701623.0,1.2,-0.6,-0.21,0.23,34.9,35.3,34.88,69.43
185,2002-06-14,600519,34.9,34.65,35.2,34.6,947,3289645.0,1.72,-0.72,-0.25,0.13,34.65,35.2,34.6,-9.85
186,2002-06-17,600519,34.55,34.65,34.66,34.3,1358,4678657.0,1.04,0.0,0.0,0.19,34.65,34.66,34.3,-110.04
187,2002-06-18,600519,34.7,34.97,35.08,34.69,1637,5721280.0,1.13,0.92,0.32,0.23,34.97,35.08,34.69,57.49
188,2002-06-19,600519,34.9,34.73,35.0,34.7,834,2900266.0,0.86,-0.69,-0.24,0.12,34.73,35.0,34.7,12.6
189,2002-06-20,600519,34.98,34.88,35.05,34.76,1319,4609083.0,0.84,0.43,0.15,0.18,34.88,35.05,34.76,54.9
190,2002-06-21,600519,35.0,35.49,35.7,34.88,4267,15107102.0,2.35,1.75,0.61,0.6,35.49,35.7,34.88,214.21
191,2002-06-24,600519,39.04,38.18,39.04,37.0,61254,234474989.0,5.75,7.58,2.69,8.57,38.18,39.04,37.0,426.06
192,2002-06-26,600519,37.28,36.85,37.4,36.56,15423,56971879.0,2.2,-3.48,-1.33,2.16,36.85,37.4,36.56,170.57
193,2002-06-27,600519,36.9,36.78,37.18,36.6,5580,20570000.0,1.57,-0.19,-0.07,0.78,36.78,37.18,36.6,119.75
194,2002-06-28,600519,36.7,37.03,37.38,36.7,10764,39735942.0,1.85,0.68,0.25,1.51,37.03,37.38,36.7,103.52
195,2002-07-01,600519,37.08,36.8,37.49,36.78,4320,16032014.0,1.92,-0.62,-0.23,0.6,36.8,37.49,36.78,83.07
196,2002-07-02,600519,36.8,36.75,36.8,36.58,3935,14439880.0,0.6,-0.14,-0.05,0.55,36.75,36.8,36.58,53.25
